"jobId","createdAt","updatedAt","jobStatus","accountId","previousUsername","currentMongoUsername","proposedName","appliedUsername","itemStatus","mismatchType","prompt","error"
"69c92bb6ad07e1973405f68c","2026-03-29T13:40:06.764Z","2026-03-29T14:18:17.417Z","done","69c361046867bec510f8e637","tamia.buckner","tamia.buckner","marsluna","","failed","groq_candidate_not_in_mongo","ou want all acc usernme to be similar

Jared letofanpage
Jared leto
30 second to mars 
30second
30secondbyleto","Edit profile not found (must be logged in as this account). URL: https://www.tiktok.com/@tamia.buckner current: https://www.tiktok.com/@tamia.buckner"
"69c92bb6ad07e1973405f68c","2026-03-29T13:40:06.764Z","2026-03-29T14:18:17.417Z","done","69c361056867bec510f8e638","marilyn.hubbard68","marilyn.hubbard68","letolove","","failed","groq_candidate_not_in_mongo","ou want all acc usernme to be similar

Jared letofanpage
Jared leto
30 second to mars 
30second
30secondbyleto","Edit profile not found (must be logged in as this account). URL: https://www.tiktok.com/@marilyn.hubbard68 current: https://www.tiktok.com/@marilyn.hubbard68"
"69c92bb6ad07e1973405f68c","2026-03-29T13:40:06.764Z","2026-03-29T14:18:17.417Z","done","69c361056867bec510f8e639","lola.lloyd5","lola.lloyd5","30seclover","","failed","groq_candidate_not_in_mongo","ou want all acc usernme to be similar

Jared letofanpage
Jared leto
30 second to mars 
30second
30secondbyleto","Edit profile not found (must be logged in as this account). URL: https://www.tiktok.com/@lola.lloyd5 current: https://www.tiktok.com/@lola.lloyd5"
"69c92bb6ad07e1973405f68c","2026-03-29T13:40:06.764Z","2026-03-29T14:18:17.417Z","done","69c361056867bec510f8e63a","erin.williams959","erin.williams959","thirty2mars","","failed","groq_candidate_not_in_mongo","ou want all acc usernme to be similar

Jared letofanpage
Jared leto
30 second to mars 
30second
30secondbyleto","Edit profile not found (must be logged in as this account). URL: https://www.tiktok.com/@erin.williams959 current: https://www.tiktok.com/@erin.williams959"
"69c92bb6ad07e1973405f68c","2026-03-29T13:40:06.764Z","2026-03-29T14:18:17.417Z","done","69c361056867bec510f8e63b","charlie.jenkins721","charlie.jenkins721","letoforever","","failed","groq_candidate_not_in_mongo","ou want all acc usernme to be similar

Jared letofanpage
Jared leto
30 second to mars 
30second
30secondbyleto","Edit profile not found (must be logged in as this account). URL: https://www.tiktok.com/@charlie.jenkins721 current: https://www.tiktok.com/@charlie.jenkins721"
"69c92bb6ad07e1973405f68c","2026-03-29T13:40:06.764Z","2026-03-29T14:18:17.417Z","done","69c361056867bec510f8e63c","monica.hull4","monica.hull4","secondchance","","failed","groq_candidate_not_in_mongo","ou want all acc usernme to be similar

Jared letofanpage
Jared leto
30 second to mars 
30second
30secondbyleto","Edit profile not found (must be logged in as this account). URL: https://www.tiktok.com/@monica.hull4 current: https://www.tiktok.com/@monica.hull4"
"69c92bb6ad07e1973405f68c","2026-03-29T13:40:06.764Z","2026-03-29T14:18:17.417Z","done","69c60d566867bec510f8ee09","lareennaa28689","lareennaa28689","chronozone","","failed","groq_candidate_not_in_mongo","ou want all acc usernme to be similar

Jared letofanpage
Jared leto
30 second to mars 
30second
30secondbyleto","Edit profile not found (must be logged in as this account). URL: https://www.tiktok.com/@lareennaa28689 current: https://www.tiktok.com/@lareennaa28689"
"69c92bb6ad07e1973405f68c","2026-03-29T13:40:06.764Z","2026-03-29T14:18:17.417Z","done","69c60f406867bec510f8ee0b","athera754365","athera754365","marsvibes","","failed","groq_candidate_not_in_mongo","ou want all acc usernme to be similar

Jared letofanpage
Jared leto
30 second to mars 
30second
30secondbyleto","Edit profile not found (must be logged in as this account). URL: https://www.tiktok.com/@athera754365 current: https://www.tiktok.com/@athera754365"
"69c92bb6ad07e1973405f68c","2026-03-29T13:40:06.764Z","2026-03-29T14:18:17.417Z","done","69c60ff86867bec510f8ee0c","baylee765448","baylee765448","letobrothers","","failed","groq_candidate_not_in_mongo","ou want all acc usernme to be similar

Jared letofanpage
Jared leto
30 second to mars 
30second
30secondbyleto","page.goto: net::ERR_TIMED_OUT at https://www.tiktok.com/@baylee765448
Call log:
[2m  - navigating to ""https://www.tiktok.com/@baylee765448"", waiting until ""domcontentloaded""[22m"
"69c92bb6ad07e1973405f68c","2026-03-29T13:40:06.764Z","2026-03-29T14:18:17.417Z","done","69c611236867bec510f8ee0d","danielle.green94","danielle.green94","jaredfanclub","","failed","groq_candidate_not_in_mongo","ou want all acc usernme to be similar

Jared letofanpage
Jared leto
30 second to mars 
30second
30secondbyleto","Edit profile not found (must be logged in as this account). URL: https://www.tiktok.com/@danielle.green94 current: https://www.tiktok.com/@danielle.green94"
